EarthRef.org -- GERM Partition Coefficient (Kd) Database														
Database development and maintenance by the PACER Team -- Data contribution by Roger Nielsen														
														
DATA:														
Rock Type	Mineral	Z	Elem	Value	SD	Low	High	Kd Type	Reference	Definition	Notes	Inserted	SiO2	SiO2_sigma
High Silica Rhyolite	Biotite	24	Cr			3.7	6.7	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Biotite	25	Mn			7.9	13.4	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Biotite	27	Co			79	101	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Biotite	30	Zn			13	19	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Biotite	37	Rb			3	5.3	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Biotite	55	Cs			1.2	3.1	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Biotite	56	Ba			3.7	7	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Biotite	57	La			2.59	3.55	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Biotite	58	Ce			2.15	3.49	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Biotite	60	Nd			1.8	2.7	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Biotite	62	Sm			1.28	1.76	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Biotite	63	Eu			0.73	1	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Biotite	65	Tb			0.66	1.3	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Biotite	66	Dy			0.5	1.05	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
