EarthRef.org -- GERM Partition Coefficient (Kd) Database														
Database development and maintenance by the PACER Team -- Data contribution by Roger Nielsen														
														
DATA:														
Rock Type	Mineral	Z	Elem	Value	SD	Low	High	Kd Type	Reference	Definition	Notes	Inserted	SiO2	SiO2_sigma
C-1245 (2 GPa, 900 C)	Allanite		Eu	271.6894977169	40.0996667381			Experimental	Hermann, 2002	Solid-Melt	CBK addition	15-MAY-2014	62.47	5
C-1245 (2 GPa, 900 C)	Allanite		Gd	201.5062761506	18.7497177868			Experimental	Hermann, 2002	Solid-Melt	CBK addition	15-MAY-2014	62.47	5
C-1245 (2 GPa, 900 C)	Allanite		Dy	199.0355329949	16.4040554896			Experimental	Hermann, 2002	Solid-Melt	CBK addition	15-MAY-2014	62.47	5
C-1245 (2 GPa, 900 C)	Allanite		Er	153.91184573	17.0698870572			Experimental	Hermann, 2002	Solid-Melt	CBK addition	15-MAY-2014	62.47	5
C-1245 (2 GPa, 900 C)	Allanite		Yb	101.2082262211	9.8665869491			Experimental	Hermann, 2002	Solid-Melt	CBK addition	15-MAY-2014	62.47	5
C-1245 (2 GPa, 900 C)	Allanite		Lu	85.6544502618	6.370759426			Experimental	Hermann, 2002	Solid-Melt	CBK addition	15-MAY-2014	62.47	5
C-1245 (2 GPa, 900 C)	Allanite		Hf	2.5833333333	0.1506944444			Experimental	Hermann, 2002	Solid-Melt	CBK addition	15-MAY-2014	62.47	5
C-1245 (2 GPa, 900 C)	Allanite		Th	61.1272727273	8.5638336748			Experimental	Hermann, 2002	Solid-Melt	CBK addition	15-MAY-2014	62.47	5
C-1245 (2 GPa, 900 C)	Allanite		U	20.3846153846	0.7305943568			Experimental	Hermann, 2002	Solid-Melt	CBK addition	15-MAY-2014	62.47	5
Sandy Braes Obsidian (rhyolite)	Allanite		La	820	410			Phenocryst-Matrix	Brooks et al 1981	Solid-Melt	CBK addition	15-MAY-2014	74	5
Sandy Braes Obsidian (rhyolite)	Allanite		Ce	635	317.5			Phenocryst-Matrix	Brooks et al 1981	Solid-Melt	CBK addition	15-MAY-2014	74	5
Sandy Braes Obsidian (rhyolite)	Allanite		Nd	463	231.5			Phenocryst-Matrix	Brooks et al 1981	Solid-Melt	CBK addition	15-MAY-2014	74	5
Sandy Braes Obsidian (rhyolite)	Allanite		Sm	205	102.5			Phenocryst-Matrix	Brooks et al 1981	Solid-Melt	CBK addition	15-MAY-2014	74	5
Sandy Braes Obsidian (rhyolite)	Allanite		Eu	81	40.5			Phenocryst-Matrix	Brooks et al 1981	Solid-Melt	CBK addition	15-MAY-2014	74	5
Sandy Braes Obsidian (rhyolite)	Allanite		Gd	130	65			Phenocryst-Matrix	Brooks et al 1981	Solid-Melt	CBK addition	15-MAY-2014	74	5
Sandy Braes Obsidian (rhyolite)	Allanite		Tb	71	35.5			Phenocryst-Matrix	Brooks et al 1981	Solid-Melt	CBK addition	15-MAY-2014	74	5
Sandy Braes Obsidian (rhyolite)	Allanite		Yb	8.9	4.45			Phenocryst-Matrix	Brooks et al 1981	Solid-Melt	CBK addition	15-MAY-2014	74	5
Sandy Braes Obsidian (rhyolite)	Allanite		Lu	7.7	3.85			Phenocryst-Matrix	Brooks et al 1981	Solid-Melt	CBK addition	15-MAY-2014	74	5
Sandy Braes Obsidian (rhyolite)	Allanite		U	3.35	3.35			Phenocryst-Matrix	Brooks et al 1981	Solid-Melt	CBK addition	15-MAY-2014	74	5
Sandy Braes Obsidian (rhyolite)	Allanite		Th	168	84			Phenocryst-Matrix	Brooks et al 1981	Solid-Melt	CBK addition	15-MAY-2014	74	5
