EarthRef.org -- GERM Partition Coefficient (Kd) Database														
Database development and maintenance by the PACER Team -- Data contribution by Roger Nielsen														
														
DATA:														
Rock Type	Mineral	Z	Elem	Value	SD	Low	High	Kd Type	Reference	Definition	Notes	Inserted	SiO2	SiO2_sigma
Low Silica Rhyolite	K-Feldspar	26	Fe			0.046	0.19	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	K-Feldspar	28	Ni			1.1	1.9	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	K-Feldspar	29	Cu			0.24	2.4	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	K-Feldspar	30	Zn			0.042	0.15	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	K-Feldspar	31	Ga			0.45	2	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	K-Feldspar	32	Ge			0.6	2.3	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	K-Feldspar	33	As			0.11	0.41	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	K-Feldspar	37	Rb			0.21	0.62	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	K-Feldspar	38	Sr			1.48	8.4	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	K-Feldspar	39	Y			0.017	0.086	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	K-Feldspar	40	Zr			0.018	0.069	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	K-Feldspar	41	Nb			0.01	0.15	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	K-Feldspar	56	Ba			1.7	17	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	K-Feldspar	82	Pb			0.12	0.83	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Rhyolite	K-Feldspar	25	Mn			0.039	0.085	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Rhyolite	K-Feldspar	26	Fe			0.12	0.18	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Rhyolite	K-Feldspar	28	Ni			0.51	1.3	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Rhyolite	K-Feldspar	29	Cu			0.45	1	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Rhyolite	K-Feldspar	30	Zn			0.041	0.061	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Rhyolite	K-Feldspar	31	Ga			0.91	2.02	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Rhyolite	K-Feldspar	32	Ge			0.68	1.6	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Rhyolite	K-Feldspar	37	Rb			0.19	0.26	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Rhyolite	K-Feldspar	38	Sr			1.6	1.68	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Rhyolite	K-Feldspar	39	Y			0.021	0.028	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Rhyolite	K-Feldspar	40	Zr			0.003	0.036	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Rhyolite	K-Feldspar	41	Nb			3.4	4.8	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Rhyolite	K-Feldspar	56	Ba			3.5	18.9	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Rhyolite	K-Feldspar	82	Pb			0.1	0.23	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Trachyte	K-Feldspar	37	Rb	0.32		0.32		Phenocryst-Matrix	Larsen 1979	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Trachyte	K-Feldspar	38	Sr	2.3		2.3		Phenocryst-Matrix	Larsen 1979	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Trachyte	K-Feldspar	39	Y	0.017		0.017		Phenocryst-Matrix	Larsen 1979	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Trachyte	K-Feldspar	40	Zr	0.003		0.003		Phenocryst-Matrix	Larsen 1979	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Trachyte	K-Feldspar	41	Nb	0.004		0.004		Phenocryst-Matrix	Larsen 1979	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Trachyte	K-Feldspar	50	Sn	0.046		0.046		Phenocryst-Matrix	Larsen 1979	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Trachyte	K-Feldspar	55	Cs	0.044		0.044		Phenocryst-Matrix	Larsen 1979	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Trachyte	K-Feldspar	56	Ba	3.409		3.409		Phenocryst-Matrix	Larsen 1979	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Trachyte	K-Feldspar	57	La	0.052		0.052		Phenocryst-Matrix	Larsen 1979	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Trachyte	K-Feldspar	58	Ce	0.039		0.039		Phenocryst-Matrix	Larsen 1979	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Trachyte	K-Feldspar	59	Pr	0.027		0.027		Phenocryst-Matrix	Larsen 1979	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Trachyte	K-Feldspar	60	Nd	0.026		0.026		Phenocryst-Matrix	Larsen 1979	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Trachyte	K-Feldspar	62	Sm	0.028		0.028		Phenocryst-Matrix	Larsen 1979	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Trachyte	K-Feldspar	63	Eu	1.261		1.261		Phenocryst-Matrix	Larsen 1979	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Trachyte	K-Feldspar	64	Gd	0.023		0.023		Phenocryst-Matrix	Larsen 1979	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Trachyte	K-Feldspar	65	Tb	0.02		0.02		Phenocryst-Matrix	Larsen 1979	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Trachyte	K-Feldspar	66	Dy	0.025		0.025		Phenocryst-Matrix	Larsen 1979	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Trachyte	K-Feldspar	67	Ho	0.022		0.022		Phenocryst-Matrix	Larsen 1979	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Trachyte	K-Feldspar	68	Er	0.017		0.017		Phenocryst-Matrix	Larsen 1979	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Trachyte	K-Feldspar	70	Yb	0.028		0.028		Phenocryst-Matrix	Larsen 1979	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Trachyte	K-Feldspar	72	Hf	0.009		0.009		Phenocryst-Matrix	Larsen 1979	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Trachyte	K-Feldspar	82	Pb	0.208		0.208		Phenocryst-Matrix	Larsen 1979	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Trachyte	K-Feldspar	90	Th	0.007		0.007		Phenocryst-Matrix	Larsen 1979	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Trachyte	K-Feldspar	92	U	0.017		0.017		Phenocryst-Matrix	Larsen 1979	Solid-Melt		12-DEC-2000	NaN	NaN
Quartz Latite	K-Feldspar	82	Pb			0.98	1.1	Phenocryst-Matrix	Leeman 1979	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	K-Feldspar	82	Pb			0.84	1.37	Phenocryst-Matrix	Leeman 1979	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	K-Feldspar	21	Sc	0.029		0.029		Phenocryst-Matrix	Leeman & Phelps 1981	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	K-Feldspar	37	Rb	0.4		0.4		Phenocryst-Matrix	Leeman & Phelps 1981	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	K-Feldspar	40	Zr	0.36		0.36		Phenocryst-Matrix	Leeman & Phelps 1981	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	K-Feldspar	55	Cs	0.024		0.024		Phenocryst-Matrix	Leeman & Phelps 1981	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	K-Feldspar	56	Ba	22		22		Phenocryst-Matrix	Leeman & Phelps 1981	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	K-Feldspar	57	La	0.129		0.129		Phenocryst-Matrix	Leeman & Phelps 1981	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	K-Feldspar	58	Ce	0.065		0.065		Phenocryst-Matrix	Leeman & Phelps 1981	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	K-Feldspar	60	Nd	0.054		0.054		Phenocryst-Matrix	Leeman & Phelps 1981	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	K-Feldspar	62	Sm	0.026		0.026		Phenocryst-Matrix	Leeman & Phelps 1981	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	K-Feldspar	63	Eu	9.06		9.06		Phenocryst-Matrix	Leeman & Phelps 1981	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	K-Feldspar	65	Tb	0.018		0.018		Phenocryst-Matrix	Leeman & Phelps 1981	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	K-Feldspar	70	Yb	0.015		0.015		Phenocryst-Matrix	Leeman & Phelps 1981	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	K-Feldspar	71	Lu	0.012		0.012		Phenocryst-Matrix	Leeman & Phelps 1981	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	K-Feldspar	72	Hf	0.034		0.034		Phenocryst-Matrix	Leeman & Phelps 1981	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	K-Feldspar	73	Ta	0.015		0.015		Phenocryst-Matrix	Leeman & Phelps 1981	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	K-Feldspar	90	Th	0.022		0.022		Phenocryst-Matrix	Leeman & Phelps 1981	Solid-Melt		12-DEC-2000	NaN	NaN
Synthetic Granite	K-Feldspar	37	Rb			0.77	1.1	Experimental	Long 1978	Solid-Melt		12-DEC-2000	NaN	NaN
Synthetic Granite	K-Feldspar	38	Sr			1.2	5	Experimental	Long 1978	Solid-Melt		12-DEC-2000	NaN	NaN
Synthetic Granite	K-Feldspar	56	Ba			6.4	14	Experimental	Long 1978	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	K-Feldspar	21	Sc			0.024	0.059	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	K-Feldspar	25	Mn			0.011	0.035	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	K-Feldspar	26	Fe			0.11	0.2	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	K-Feldspar	27	Co			0.09	0.39	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	K-Feldspar	30	Zn			0.041	0.09	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	K-Feldspar	37	Rb			0.31	0.74	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	K-Feldspar	55	Cs			0.009	0.061	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	K-Feldspar	56	Ba			1	6.7	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	K-Feldspar	57	La			0.037	0.111	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	K-Feldspar	58	Ce			0.031	0.095	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	K-Feldspar	60	Nd			0.013	0.093	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	K-Feldspar	62	Sm			0.014	0.0458	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	K-Feldspar	63	Eu			2	3.5	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	K-Feldspar	65	Tb			0.012	0.092	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	K-Feldspar	66	Dy			0.006	0.15	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	K-Feldspar	70	Yb			0.005	0.024	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	K-Feldspar	71	Lu			0.008	0.07	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	K-Feldspar	72	Hf			0.0052	0.031	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	K-Feldspar	73	Ta			0.0045	0.029	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	K-Feldspar	90	Th			0.0095	0.0253	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	K-Feldspar	92	U			0.008	0.037	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	K-Feldspar	21	Sc			0.01	0.04	Phenocryst-Matrix	Nash & Crecraft 1985	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	K-Feldspar	37	Rb			1.2	2.4	Phenocryst-Matrix	Nash & Crecraft 1985	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	K-Feldspar	38	Sr			4.5	7.3	Phenocryst-Matrix	Nash & Crecraft 1985	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	K-Feldspar	40	Zr			0.01	0.05	Phenocryst-Matrix	Nash & Crecraft 1985	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	K-Feldspar	55	Cs			0.11	0.37	Phenocryst-Matrix	Nash & Crecraft 1985	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	K-Feldspar	56	Ba			4.9	24	Phenocryst-Matrix	Nash & Crecraft 1985	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	K-Feldspar	57	La			0.07	0.1	Phenocryst-Matrix	Nash & Crecraft 1985	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	K-Feldspar	58	Ce			0.02	0.06	Phenocryst-Matrix	Nash & Crecraft 1985	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	K-Feldspar	60	Nd			0.03	0.04	Phenocryst-Matrix	Nash & Crecraft 1985	Solid-Melt		12-DEC-2000	NaN	NaN
