Brunet & Chazot 2001	http://earthref.org/cgi-bin/err.cgi?n=99686
Cawthorn 1996	http://earthref.org/cgi-bin/err.cgi?n=311
Chazot et al. 1996	http://earthref.org/cgi-bin/err.cgi?n=313
Dale & Henderson 1972	http://earthref.org/cgi-bin/err.cgi?n=318
Dostal et al. 1983	http://earthref.org/cgi-bin/err.cgi?n=324
Duke 1976	http://earthref.org/cgi-bin/err.cgi?n=331
Dunn & Mccallum 1982	http://earthref.org/cgi-bin/err.cgi?n=335
Dunn 1987	http://earthref.org/cgi-bin/err.cgi?n=333
Dunn 1988	http://earthref.org/cgi-bin/err.cgi?n=334
Elkins et al. 2008	http://earthref.org/cgi-bin/err.cgi?n=99755
Ewart & Griffin 1994	http://earthref.org/cgi-bin/err.cgi?n=337
Ewart et al. 1973	http://earthref.org/cgi-bin/err.cgi?n=338
Foley & Jenner 2004	http://earthref.org/cgi-bin/err.cgi?n=99693
Foley et al. 1996	http://earthref.org/cgi-bin/err.cgi?n=342
Forsythe et al. 1994	http://earthref.org/cgi-bin/err.cgi?n=343
Frey 1969	http://earthref.org/cgi-bin/err.cgi?n=345
Fujimaki et al. 1984	http://earthref.org/cgi-bin/err.cgi?n=346
Gaetani & Grove 1995	http://earthref.org/cgi-bin/err.cgi?n=349
Gaetani 2004	http://earthref.org/cgi-bin/err.cgi?n=99719
Gaetani et al. 2003	http://earthref.org/cgi-bin/err.cgi?n=99694
Gallahan & Nielsen 1992	http://earthref.org/cgi-bin/err.cgi?n=351
Green & Pearson 1983	http://earthref.org/cgi-bin/err.cgi?n=91
Green & Pearson 1985	http://earthref.org/cgi-bin/err.cgi?n=93
Green et al. 1989	http://earthref.org/cgi-bin/err.cgi?n=100
Green et al. 2000	http://earthref.org/cgi-bin/err.cgi?n=99695
Hack et al. 1994	http://earthref.org/cgi-bin/err.cgi?n=102
Hart & Brooks 1974	http://earthref.org/cgi-bin/err.cgi?n=105
Hart & Dunn 1993	http://earthref.org/cgi-bin/err.cgi?n=107
Hauri et al. 1994	http://earthref.org/cgi-bin/err.cgi?n=110
Heber et al. 2007	http://earthref.org/cgi-bin/err.cgi?n=99761
Hill et al. 2000	http://earthref.org/cgi-bin/err.cgi?n=99696
Huang et al. 2006	http://earthref.org/cgi-bin/err.cgi?n=99697
Irving & Frey 1984	http://earthref.org/cgi-bin/err.cgi?n=127
Jenner et al. 1994	http://earthref.org/cgi-bin/err.cgi?n=129
Johnson & Kinzler 1989	http://earthref.org/cgi-bin/err.cgi?n=130
Johnson & Schwab 2004	http://earthref.org/cgi-bin/err.cgi?n=99762
