EarthRef.org -- GERM Partition Coefficient (Kd) Database														
Database development and maintenance by the PACER Team -- Data contribution by Roger Nielsen														
														
DATA:														
Rock Type	Mineral	Z	Elem	Value	SD	Low	High	Kd Type	Reference	Definition	Notes	Inserted	SiO2	SiO2_sigma
Granodiorite	Ilmenite	24	Cr	225				phenocryst-matrix	Latourrette et al. 1991	Solid-Melt		08-DEC-2008	NaN	NaN
Granodiorite	Ilmenite	25	Mn	8				phenocryst-matrix	Latourrette et al. 1991	Solid-Melt		08-DEC-2008	NaN	NaN
High Silica Rhyolite	Ilmenite	21	Sc	18.5				Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Ilmenite	25	Mn	27				Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Ilmenite	27	Co	26				Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Ilmenite	30	Zn	7.8				Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Ilmenite	42	Mo	11				Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Ilmenite	57	La	1.31				Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Ilmenite	58	Ce	1.19				Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Ilmenite	60	Nd	0.96				Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Ilmenite	62	Sm	0.684				Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Ilmenite	63	Eu	0.4				Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Ilmenite	65	Tb	0.36				Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Ilmenite	66	Dy	0.37				Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Ilmenite	70	Yb	0.55				Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Ilmenite	71	Lu	0.74				Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Ilmenite	72	Hf	0.65				Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Ilmenite	73	Ta	18				Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Ilmenite	90	Th	0.427				Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Ilmenite	92	U	0.063				Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
Basalt	Ilmenite	40	Zr	0.28				Experimental	McCallum & Charette 1978	Solid-Melt		12-DEC-2000	NaN	NaN
Basalt	Ilmenite	41	Nb	0.8				Experimental	McCallum & Charette 1978	Solid-Melt		12-DEC-2000	NaN	NaN
KREEP, Lunar Basalt	Ilmenite	58	Ce	0.006				Experimental	McKay & Weill 1976	Solid-Melt		12-DEC-2000	NaN	NaN
